Image,F1,Jaccard,Recall,Precision
2878.png,0.8567919430115452,0.7494628276751182,0.9261816250663835,0.7970749542961609
1021.png,0.8854030501089326,0.7943706020328382,0.8154093097913323,0.9685414680648237
197.png,0.3631029986962191,0.22182397451214655,0.22306768121746096,0.9754816112084063
1274.png,0.9362244897959183,0.8800959232613909,0.9362244897959183,0.9362244897959183
915.png,0.7258868367047786,0.5697192820984813,0.5793167992512869,0.9717425431711146
2360.png,0.3519061583577712,0.21352313167259787,0.3413400758533502,0.36314727639542704
1553.png,0.7624413145539907,0.6160849772382397,0.6265432098765432,0.973621103117506
2262.png,0.9565217391304348,0.9166666666666666,0.949238578680203,0.9639175257731959
2096.png,0.7711567351026539,0.6275468622656887,0.6730769230769231,0.902696365767878
2385.png,0.8991434097817077,0.8167670682730924,0.8500522466039707,0.9542521994134897
2073.png,0.7829716193656094,0.6433470507544582,0.813953488372093,0.7542618205210678
979.png,0.8635043562439496,0.7597955706984668,0.7623931623931623,0.9955357142857143
1658.png,0.900709219858156,0.8193548387096774,0.9071428571428571,0.8943661971830986
864.png,0.5471814990708239,0.37663445139283686,0.3807471264367816,0.9721203228173148
2571.png,0.8998144712430426,0.8178752107925801,0.8178752107925801,1.0
1269.png,0.888235294117647,0.798941798941799,0.8118279569892473,0.9805194805194806
985.png,0.4132841328413284,0.26046511627906976,0.43523316062176165,0.39344262295081966
847.png,0.7441860465116279,0.5925925925925926,0.5933250927070457,0.997920997920998
1218.png,0.8260869565217391,0.7037037037037037,0.8,0.8539325842696629
926.png,0.9228650137741047,0.8567774936061381,0.9911242603550295,0.8634020618556701
2029.png,0.8846657929226737,0.7931844888366627,0.8181818181818182,0.9629101283880172
559.png,0.8611544461778471,0.7561643835616438,0.7624309392265194,0.989247311827957
16.png,0.8790123456790124,0.7841409691629956,1.0,0.7841409691629956
1972.png,0.48514851485148514,0.3202614379084967,0.3202614379084967,1.0
2837.png,0.0,0.0,0.0,0.0
1050.png,0.9168121000581734,0.8464017185821697,0.8546637744034707,0.9887076537013801
2971.png,0.7593948267447534,0.6121164437450826,0.6209098164405427,0.9773869346733668
1988.png,0.0,0.0,0.0,0.0
949.png,0.8256333830104321,0.7030456852791879,0.7780898876404494,0.8793650793650793
2633.png,0.0,0.0,0.0,0.0
1410.png,0.7244094488188978,0.5679012345679012,0.580441640378549,0.9633507853403142
1118.png,0.9334719334719336,0.8752436647173489,0.9739696312364425,0.8962075848303394
1185.png,0.9762633996937213,0.9536275243081526,0.9608138658628486,0.9922178988326849
1726.png,0.7350579839429082,0.5811001410437235,0.6176911544227887,0.9074889867841409
880.png,0.8066429418742586,0.6759443339960238,0.9659090909090909,0.6924643584521385
2951.png,0.9668472372697724,0.9358221476510067,0.9687364307425098,0.9649653979238755
2269.png,0.0,0.0,0.0,0.0
1555.png,0.9270833333333334,0.8640776699029126,0.9955257270693513,0.8674463937621832
2968.png,0.8648648648648649,0.7619047619047619,0.7881040892193308,0.9581920903954803
948.png,0.8440366972477065,0.7301587301587301,0.7395498392282959,0.9829059829059829
262.png,0.917381974248927,0.8473736372646185,0.9682899207248018,0.8715596330275229
2090.png,0.830069488313329,0.7095032397408207,0.7699970700263697,0.9003083247687564
2285.png,0.4931636020744932,0.32728410513141426,0.3314321926489227,0.9631675874769797
1262.png,0.9178885630498533,0.8482384823848238,1.0,0.8482384823848238
2098.png,0.0,0.0,0.0,0.0
1662.png,0.8805031446540881,0.7865168539325843,0.9859154929577465,0.7954545454545454
1739.png,0.9464170432537121,0.8982843137254902,0.9786381842456608,0.91625
557.png,0.8411552346570397,0.7258566978193146,0.7760199833472107,0.9182266009852217
2718.png,0.892707460184409,0.8062074186222559,0.8588709677419355,0.9293193717277487
2172.png,0.0,0.0,0.0,0.0
2729.png,0.8479008947006194,0.7359617682198327,0.7359617682198327,1.0
361.png,0.9382176052487697,0.8836251287332647,0.8900414937759336,0.991907514450867
2647.png,0.0,0.0,0.0,0.0
2489.png,0.865090909090909,0.762255687279718,0.7669245647969052,0.9920767306088407
822.png,0.9107692307692308,0.8361581920903954,0.8457142857142858,0.9866666666666667
2305.png,0.7906482465462273,0.6537785588752196,0.656084656084656,0.9946524064171123
2655.png,0.7393939393939394,0.5865384615384616,0.5865384615384616,1.0
2957.png,0.8195815238847217,0.6943143812709031,0.7604395604395604,0.8886986301369864
1194.png,0.884012539184953,0.7921348314606742,0.8057142857142857,0.9791666666666666
2198.png,0.9300613496932516,0.8692660550458715,0.9344181459566075,0.9257449926722032
2497.png,0.0,0.0,0.0,0.0
1867.png,0.8596491228070176,0.7538461538461538,0.7538461538461538,1.0
2345.png,0.8894073728418105,0.8008403361344538,0.9841652323580035,0.8112939841089671
1561.png,0.925233644859813,0.8608695652173913,0.972972972972973,0.8819599109131403
3035.png,0.8769817379088902,0.7809149392423159,0.9685283687943262,0.8012467913458012
2789.png,0.5379280450801908,0.36792173139638307,0.36792173139638307,1.0
593.png,0.956737941322725,0.9170638703527169,0.9196940726577438,0.9968911917098445
2190.png,0.8688172043010753,0.7680608365019012,0.781683327958723,0.9778136345300524
12.png,0.9730700179533214,0.9475524475524476,0.9864794591783671,0.9600202429149798
580.png,0.9700528479154433,0.9418472063854048,0.9694835680751174,0.9706227967097533
2006.png,0.7922235722964762,0.6559356136820925,0.659919028340081,0.9908814589665653
1902.png,0.8537906137184115,0.7448818897637796,0.8476702508960573,0.86
2825.png,0.9046454767726162,0.8258928571428571,0.9560723514211886,0.8584686774941995
730.png,0.9241741741741741,0.8590369853454292,0.960967993754879,0.8900939985538684
3010.png,0.6981891348088531,0.5363214837712519,0.5438871473354232,0.9747191011235955
1616.png,0.8975265017667845,0.8141025641025641,0.900709219858156,0.8943661971830986
1590.png,0.8738621586475943,0.7759815242494227,0.9081081081081082,0.8421052631578947
1087.png,0.0,0.0,0.0,0.0
702.png,0.8540685944855414,0.7453051643192489,0.7559523809523809,0.98145285935085
2263.png,0.976832751507458,0.9547146401985112,0.9783852511125238,0.9752851711026616
479.png,0.8945578231292517,0.8092307692307692,0.8456591639871383,0.9494584837545126
2411.png,0.8841996911991765,0.7924354243542435,0.7924354243542435,1.0
3029.png,0.0,0.0,0.0,0.0
1539.png,0.9626022594468252,0.9279008636875704,0.9540540540540541,0.9713050314465409
3001.png,0.798503166378814,0.6645903210349784,0.6655470249520153,0.9978417266187051
2503.png,0.7730318257956449,0.6300341296928328,0.6486296556570625,0.9564766839378238
2403.png,0.8306104901117799,0.7102941176470589,0.7176820208023774,0.9857142857142858
2429.png,0.8081016134569173,0.6779953917050692,0.6968620485494376,0.9616013071895425
1795.png,0.7643312101910827,0.6185567010309279,0.6437768240343348,0.9404388714733543
2182.png,0.9281271596406357,0.865892972275951,0.9274861878453039,0.9287690179806363
1542.png,0.9241650294695481,0.8590211833455077,0.900804289544236,0.9487696651875757
1520.png,0.8242424242424243,0.7010309278350515,0.8127490039840638,0.8360655737704918
246.png,0.9020172910662825,0.821522309711286,0.945619335347432,0.8622589531680441
250.png,0.9270462633451957,0.8640132669983416,0.9253996447602132,0.928698752228164
607.png,0.9235382308845577,0.8579387186629527,0.8725212464589235,0.9808917197452229
2110.png,0.8714285714285713,0.7721518987341772,0.8221024258760108,0.9270516717325228
2665.png,0.8312849162011173,0.7112810707456979,0.7144686299615877,0.993766696349065
1959.png,0.0,0.0,0.0,0.0
364.png,0.9385474860335196,0.8842105263157894,0.9293617021276596,0.9479166666666666
2737.png,0.853410740203193,0.7443037974683544,0.8099173553719008,0.901840490797546
162.png,0.9616829451540195,0.9261939218523878,0.9370424597364568,0.9876543209876543
2372.png,0.6240409207161126,0.45353159851301117,0.9295238095238095,0.46968238691049086
1475.png,0.0,0.0,0.0,0.0
2216.png,0.3979885057471264,0.2484304932735426,0.24932493249324933,0.9857651245551602
873.png,0.7511139401654996,0.601427115188583,0.6069958847736625,0.9849749582637729
1094.png,0.5822784810126582,0.4107142857142857,0.4107142857142857,1.0
3060.png,0.5412018711766823,0.37099161322150964,0.37375745526838966,0.9804432855280313
1638.png,0.9635336414997433,0.929633300297324,0.9730290456431535,0.9542217700915565
1748.png,0.9266862170087976,0.8633879781420765,0.9937106918238994,0.8681318681318682
947.png,0.8927038626609441,0.8062015503875969,0.8093385214007782,0.9952153110047847
1374.png,0.8103186646433991,0.6811224489795918,0.996268656716418,0.6828644501278772
1671.png,0.49491525423728816,0.32882882882882886,0.32882882882882886,1.0
2296.png,0.7411025819958128,0.5886917960088692,0.659217877094972,0.846215139442231
174.png,0.95318805488297,0.9105628373168851,0.9190661478599221,0.9899413243922883
1868.png,0.0,0.0,0.0,0.0
2867.png,0.929502171734046,0.8682896379525593,0.9133289560078792,0.9462585034013605
1602.png,0.9635036496350367,0.9295774647887324,0.9504,0.9769736842105263
1093.png,0.716564417177914,0.5583173996175909,0.5593869731800766,0.9965870307167235
660.png,0.9764610389610389,0.9540047581284695,0.9729073999191266,0.980040733197556
870.png,0.9600798403193612,0.9232245681381958,0.9267822736030829,0.9958592132505176
93.png,0.7493403693931399,0.5991561181434599,0.6563944530046225,0.8729508196721312
